,index,filepaths,labels,data set,class_index
34,34,train/AFRICAN CROWNED CRANE/035.jpg,AFRICAN CROWNED CRANE,train,0
35,35,train/AFRICAN CROWNED CRANE/036.jpg,AFRICAN CROWNED CRANE,train,0
36,36,train/AFRICAN CROWNED CRANE/037.jpg,AFRICAN CROWNED CRANE,train,0
37,37,train/AFRICAN CROWNED CRANE/038.jpg,AFRICAN CROWNED CRANE,train,0
38,38,train/AFRICAN CROWNED CRANE/039.jpg,AFRICAN CROWNED CRANE,train,0
39,39,train/AFRICAN CROWNED CRANE/040.jpg,AFRICAN CROWNED CRANE,train,0
40,40,train/AFRICAN CROWNED CRANE/041.jpg,AFRICAN CROWNED CRANE,train,0
41,41,train/AFRICAN CROWNED CRANE/042.jpg,AFRICAN CROWNED CRANE,train,0
42,42,train/AFRICAN CROWNED CRANE/043.jpg,AFRICAN CROWNED CRANE,train,0
43,43,train/AFRICAN CROWNED CRANE/044.jpg,AFRICAN CROWNED CRANE,train,0
44,44,train/AFRICAN CROWNED CRANE/045.jpg,AFRICAN CROWNED CRANE,train,0
45,45,train/AFRICAN CROWNED CRANE/046.jpg,AFRICAN CROWNED CRANE,train,0
46,46,train/AFRICAN CROWNED CRANE/047.jpg,AFRICAN CROWNED CRANE,train,0
47,47,train/AFRICAN CROWNED CRANE/048.jpg,AFRICAN CROWNED CRANE,train,0
48,48,train/AFRICAN CROWNED CRANE/049.jpg,AFRICAN CROWNED CRANE,train,0
49,49,train/AFRICAN CROWNED CRANE/050.jpg,AFRICAN CROWNED CRANE,train,0
50,50,train/AFRICAN CROWNED CRANE/051.jpg,AFRICAN CROWNED CRANE,train,0
51,51,train/AFRICAN CROWNED CRANE/052.jpg,AFRICAN CROWNED CRANE,train,0
52,52,train/AFRICAN CROWNED CRANE/053.jpg,AFRICAN CROWNED CRANE,train,0
53,53,train/AFRICAN CROWNED CRANE/054.jpg,AFRICAN CROWNED CRANE,train,0
54,54,train/AFRICAN CROWNED CRANE/055.jpg,AFRICAN CROWNED CRANE,train,0
55,55,train/AFRICAN CROWNED CRANE/056.jpg,AFRICAN CROWNED CRANE,train,0
56,56,train/AFRICAN CROWNED CRANE/057.jpg,AFRICAN CROWNED CRANE,train,0
57,57,train/AFRICAN CROWNED CRANE/058.jpg,AFRICAN CROWNED CRANE,train,0
58,58,train/AFRICAN CROWNED CRANE/059.jpg,AFRICAN CROWNED CRANE,train,0
59,59,train/AFRICAN CROWNED CRANE/061.jpg,AFRICAN CROWNED CRANE,train,0
60,60,train/AFRICAN CROWNED CRANE/062.jpg,AFRICAN CROWNED CRANE,train,0
61,61,train/AFRICAN CROWNED CRANE/063.jpg,AFRICAN CROWNED CRANE,train,0
62,62,train/AFRICAN CROWNED CRANE/064.jpg,AFRICAN CROWNED CRANE,train,0
63,63,train/AFRICAN CROWNED CRANE/065.jpg,AFRICAN CROWNED CRANE,train,0
64,64,train/AFRICAN CROWNED CRANE/066.jpg,AFRICAN CROWNED CRANE,train,0
65,65,train/AFRICAN CROWNED CRANE/067.jpg,AFRICAN CROWNED CRANE,train,0
66,66,train/AFRICAN CROWNED CRANE/068.jpg,AFRICAN CROWNED CRANE,train,0
67,67,train/AFRICAN CROWNED CRANE/069.jpg,AFRICAN CROWNED CRANE,train,0
68,68,train/AFRICAN CROWNED CRANE/070.jpg,AFRICAN CROWNED CRANE,train,0
69,69,train/AFRICAN CROWNED CRANE/071.jpg,AFRICAN CROWNED CRANE,train,0
70,70,train/AFRICAN CROWNED CRANE/072.jpg,AFRICAN CROWNED CRANE,train,0
71,71,train/AFRICAN CROWNED CRANE/073.jpg,AFRICAN CROWNED CRANE,train,0
72,72,train/AFRICAN CROWNED CRANE/074.jpg,AFRICAN CROWNED CRANE,train,0
73,73,train/AFRICAN CROWNED CRANE/075.jpg,AFRICAN CROWNED CRANE,train,0
74,74,train/AFRICAN CROWNED CRANE/076.jpg,AFRICAN CROWNED CRANE,train,0
75,75,train/AFRICAN CROWNED CRANE/077.jpg,AFRICAN CROWNED CRANE,train,0
76,76,train/AFRICAN CROWNED CRANE/078.jpg,AFRICAN CROWNED CRANE,train,0
77,77,train/AFRICAN CROWNED CRANE/079.jpg,AFRICAN CROWNED CRANE,train,0
78,78,train/AFRICAN CROWNED CRANE/080.jpg,AFRICAN CROWNED CRANE,train,0
79,79,train/AFRICAN CROWNED CRANE/081.jpg,AFRICAN CROWNED CRANE,train,0
80,80,train/AFRICAN CROWNED CRANE/082.jpg,AFRICAN CROWNED CRANE,train,0
81,81,train/AFRICAN CROWNED CRANE/083.jpg,AFRICAN CROWNED CRANE,train,0
82,82,train/AFRICAN CROWNED CRANE/084.jpg,AFRICAN CROWNED CRANE,train,0
83,83,train/AFRICAN CROWNED CRANE/085.jpg,AFRICAN CROWNED CRANE,train,0
84,84,train/AFRICAN CROWNED CRANE/086.jpg,AFRICAN CROWNED CRANE,train,0
85,85,train/AFRICAN CROWNED CRANE/087.jpg,AFRICAN CROWNED CRANE,train,0
86,86,train/AFRICAN CROWNED CRANE/088.jpg,AFRICAN CROWNED CRANE,train,0
87,87,train/AFRICAN CROWNED CRANE/089.jpg,AFRICAN CROWNED CRANE,train,0
88,88,train/AFRICAN CROWNED CRANE/090.jpg,AFRICAN CROWNED CRANE,train,0
89,89,train/AFRICAN CROWNED CRANE/091.jpg,AFRICAN CROWNED CRANE,train,0
90,90,train/AFRICAN CROWNED CRANE/092.jpg,AFRICAN CROWNED CRANE,train,0
91,91,train/AFRICAN CROWNED CRANE/093.jpg,AFRICAN CROWNED CRANE,train,0
92,92,train/AFRICAN CROWNED CRANE/094.jpg,AFRICAN CROWNED CRANE,train,0
93,93,train/AFRICAN CROWNED CRANE/095.jpg,AFRICAN CROWNED CRANE,train,0
94,94,train/AFRICAN CROWNED CRANE/096.jpg,AFRICAN CROWNED CRANE,train,0
95,95,train/AFRICAN CROWNED CRANE/097.jpg,AFRICAN CROWNED CRANE,train,0
96,96,train/AFRICAN CROWNED CRANE/098.jpg,AFRICAN CROWNED CRANE,train,0
97,97,train/AFRICAN CROWNED CRANE/099.jpg,AFRICAN CROWNED CRANE,train,0
98,98,train/AFRICAN CROWNED CRANE/100.jpg,AFRICAN CROWNED CRANE,train,0
99,99,train/AFRICAN CROWNED CRANE/101.jpg,AFRICAN CROWNED CRANE,train,0
100,100,train/AFRICAN CROWNED CRANE/102.jpg,AFRICAN CROWNED CRANE,train,0
101,101,train/AFRICAN CROWNED CRANE/103.jpg,AFRICAN CROWNED CRANE,train,0
102,102,train/AFRICAN CROWNED CRANE/104.jpg,AFRICAN CROWNED CRANE,train,0
103,103,train/AFRICAN CROWNED CRANE/105.jpg,AFRICAN CROWNED CRANE,train,0
104,104,train/AFRICAN CROWNED CRANE/106.jpg,AFRICAN CROWNED CRANE,train,0
105,105,train/AFRICAN CROWNED CRANE/107.jpg,AFRICAN CROWNED CRANE,train,0
106,106,train/AFRICAN CROWNED CRANE/108.jpg,AFRICAN CROWNED CRANE,train,0
107,107,train/AFRICAN CROWNED CRANE/109.jpg,AFRICAN CROWNED CRANE,train,0
108,108,train/AFRICAN CROWNED CRANE/110.jpg,AFRICAN CROWNED CRANE,train,0
109,109,train/AFRICAN CROWNED CRANE/112.jpg,AFRICAN CROWNED CRANE,train,0
110,110,train/AFRICAN CROWNED CRANE/113.jpg,AFRICAN CROWNED CRANE,train,0
111,111,train/AFRICAN CROWNED CRANE/114.jpg,AFRICAN CROWNED CRANE,train,0
112,112,train/AFRICAN CROWNED CRANE/115.jpg,AFRICAN CROWNED CRANE,train,0
113,113,train/AFRICAN CROWNED CRANE/116.jpg,AFRICAN CROWNED CRANE,train,0
114,114,train/AFRICAN CROWNED CRANE/118.jpg,AFRICAN CROWNED CRANE,train,0
115,115,train/AFRICAN CROWNED CRANE/119.jpg,AFRICAN CROWNED CRANE,train,0
116,116,train/AFRICAN CROWNED CRANE/120.jpg,AFRICAN CROWNED CRANE,train,0
117,117,train/AFRICAN CROWNED CRANE/121.jpg,AFRICAN CROWNED CRANE,train,0
118,118,train/AFRICAN CROWNED CRANE/122.jpg,AFRICAN CROWNED CRANE,train,0
119,119,train/AFRICAN CROWNED CRANE/123.jpg,AFRICAN CROWNED CRANE,train,0
120,120,train/AFRICAN CROWNED CRANE/124.jpg,AFRICAN CROWNED CRANE,train,0
121,121,train/AFRICAN CROWNED CRANE/125.jpg,AFRICAN CROWNED CRANE,train,0
122,122,train/AFRICAN CROWNED CRANE/126.jpg,AFRICAN CROWNED CRANE,train,0
123,123,train/AFRICAN CROWNED CRANE/127.jpg,AFRICAN CROWNED CRANE,train,0
124,124,train/AFRICAN CROWNED CRANE/128.jpg,AFRICAN CROWNED CRANE,train,0
125,125,train/AFRICAN CROWNED CRANE/129.jpg,AFRICAN CROWNED CRANE,train,0
126,126,train/AFRICAN CROWNED CRANE/130.jpg,AFRICAN CROWNED CRANE,train,0
127,127,train/AFRICAN CROWNED CRANE/131.jpg,AFRICAN CROWNED CRANE,train,0
128,128,train/AFRICAN CROWNED CRANE/132.jpg,AFRICAN CROWNED CRANE,train,0
129,129,train/AFRICAN CROWNED CRANE/133.jpg,AFRICAN CROWNED CRANE,train,0
130,130,train/AFRICAN CROWNED CRANE/134.jpg,AFRICAN CROWNED CRANE,train,0
131,131,train/AFRICAN CROWNED CRANE/135.jpg,AFRICAN CROWNED CRANE,train,0
132,132,train/AFRICAN CROWNED CRANE/136.jpg,AFRICAN CROWNED CRANE,train,0
133,133,train/AFRICAN CROWNED CRANE/137.jpg,AFRICAN CROWNED CRANE,train,0
134,134,train/AFRICAN CROWNED CRANE/138.jpg,AFRICAN CROWNED CRANE,train,0
135,135,train/AFRICAN CROWNED CRANE/139.jpg,AFRICAN CROWNED CRANE,train,0
136,136,train/AFRICAN CROWNED CRANE/140.jpg,AFRICAN CROWNED CRANE,train,0
137,137,train/AFRICAN FIREFINCH/001.jpg,AFRICAN FIREFINCH,train,1
138,138,train/AFRICAN FIREFINCH/002.jpg,AFRICAN FIREFINCH,train,1
139,139,train/AFRICAN FIREFINCH/003.jpg,AFRICAN FIREFINCH,train,1
140,140,train/AFRICAN FIREFINCH/004.jpg,AFRICAN FIREFINCH,train,1
141,141,train/AFRICAN FIREFINCH/005.jpg,AFRICAN FIREFINCH,train,1
142,142,train/AFRICAN FIREFINCH/006.jpg,AFRICAN FIREFINCH,train,1
143,143,train/AFRICAN FIREFINCH/007.jpg,AFRICAN FIREFINCH,train,1
144,144,train/AFRICAN FIREFINCH/008.jpg,AFRICAN FIREFINCH,train,1
145,145,train/AFRICAN FIREFINCH/009.jpg,AFRICAN FIREFINCH,train,1
146,146,train/AFRICAN FIREFINCH/010.jpg,AFRICAN FIREFINCH,train,1
147,147,train/AFRICAN FIREFINCH/011.jpg,AFRICAN FIREFINCH,train,1
148,148,train/AFRICAN FIREFINCH/012.jpg,AFRICAN FIREFINCH,train,1
149,149,train/AFRICAN FIREFINCH/013.jpg,AFRICAN FIREFINCH,train,1
150,150,train/AFRICAN FIREFINCH/014.jpg,AFRICAN FIREFINCH,train,1
151,151,train/AFRICAN FIREFINCH/015.jpg,AFRICAN FIREFINCH,train,1
152,152,train/AFRICAN FIREFINCH/016.jpg,AFRICAN FIREFINCH,train,1
153,153,train/AFRICAN FIREFINCH/017.jpg,AFRICAN FIREFINCH,train,1
154,154,train/AFRICAN FIREFINCH/018.jpg,AFRICAN FIREFINCH,train,1
155,155,train/AFRICAN FIREFINCH/019.jpg,AFRICAN FIREFINCH,train,1
156,156,train/AFRICAN FIREFINCH/020.jpg,AFRICAN FIREFINCH,train,1
157,157,train/AFRICAN FIREFINCH/021.jpg,AFRICAN FIREFINCH,train,1
158,158,train/AFRICAN FIREFINCH/022.jpg,AFRICAN FIREFINCH,train,1
159,159,train/AFRICAN FIREFINCH/023.jpg,AFRICAN FIREFINCH,train,1
160,160,train/AFRICAN FIREFINCH/024.jpg,AFRICAN FIREFINCH,train,1
161,161,train/AFRICAN FIREFINCH/025.jpg,AFRICAN FIREFINCH,train,1
162,162,train/AFRICAN FIREFINCH/026.jpg,AFRICAN FIREFINCH,train,1
163,163,train/AFRICAN FIREFINCH/027.jpg,AFRICAN FIREFINCH,train,1
164,164,train/AFRICAN FIREFINCH/028.jpg,AFRICAN FIREFINCH,train,1
165,165,train/AFRICAN FIREFINCH/029.jpg,AFRICAN FIREFINCH,train,1
166,166,train/AFRICAN FIREFINCH/030.jpg,AFRICAN FIREFINCH,train,1
167,167,train/AFRICAN FIREFINCH/031.jpg,AFRICAN FIREFINCH,train,1
168,168,train/AFRICAN FIREFINCH/032.jpg,AFRICAN FIREFINCH,train,1
169,169,train/AFRICAN FIREFINCH/033.jpg,AFRICAN FIREFINCH,train,1
170,170,train/AFRICAN FIREFINCH/034.jpg,AFRICAN FIREFINCH,train,1
171,171,train/AFRICAN FIREFINCH/035.jpg,AFRICAN FIREFINCH,train,1
172,172,train/AFRICAN FIREFINCH/036.jpg,AFRICAN FIREFINCH,train,1
173,173,train/AFRICAN FIREFINCH/037.jpg,AFRICAN FIREFINCH,train,1
174,174,train/AFRICAN FIREFINCH/038.jpg,AFRICAN FIREFINCH,train,1
175,175,train/AFRICAN FIREFINCH/039.jpg,AFRICAN FIREFINCH,train,1
176,176,train/AFRICAN FIREFINCH/040.jpg,AFRICAN FIREFINCH,train,1
177,177,train/AFRICAN FIREFINCH/041.jpg,AFRICAN FIREFINCH,train,1
178,178,train/AFRICAN FIREFINCH/042.jpg,AFRICAN FIREFINCH,train,1
179,179,train/AFRICAN FIREFINCH/043.jpg,AFRICAN FIREFINCH,train,1
180,180,train/AFRICAN FIREFINCH/044.jpg,AFRICAN FIREFINCH,train,1
181,181,train/AFRICAN FIREFINCH/045.jpg,AFRICAN FIREFINCH,train,1
182,182,train/AFRICAN FIREFINCH/046.jpg,AFRICAN FIREFINCH,train,1
183,183,train/AFRICAN FIREFINCH/047.jpg,AFRICAN FIREFINCH,train,1
184,184,train/AFRICAN FIREFINCH/048.jpg,AFRICAN FIREFINCH,train,1
185,185,train/AFRICAN FIREFINCH/049.jpg,AFRICAN FIREFINCH,train,1
186,186,train/AFRICAN FIREFINCH/050.jpg,AFRICAN FIREFINCH,train,1
187,187,train/AFRICAN FIREFINCH/051.jpg,AFRICAN FIREFINCH,train,1
188,188,train/AFRICAN FIREFINCH/052.jpg,AFRICAN FIREFINCH,train,1
189,189,train/AFRICAN FIREFINCH/053.jpg,AFRICAN FIREFINCH,train,1
190,190,train/AFRICAN FIREFINCH/054.jpg,AFRICAN FIREFINCH,train,1
191,191,train/AFRICAN FIREFINCH/055.jpg,AFRICAN FIREFINCH,train,1
192,192,train/AFRICAN FIREFINCH/056.jpg,AFRICAN FIREFINCH,train,1
193,193,train/AFRICAN FIREFINCH/057.jpg,AFRICAN FIREFINCH,train,1
194,194,train/AFRICAN FIREFINCH/058.jpg,AFRICAN FIREFINCH,train,1
195,195,train/AFRICAN FIREFINCH/059.jpg,AFRICAN FIREFINCH,train,1
196,196,train/AFRICAN FIREFINCH/060.jpg,AFRICAN FIREFINCH,train,1
197,197,train/AFRICAN FIREFINCH/061.jpg,AFRICAN FIREFINCH,train,1
198,198,train/AFRICAN FIREFINCH/062.jpg,AFRICAN FIREFINCH,train,1
199,199,train/AFRICAN FIREFINCH/063.jpg,AFRICAN FIREFINCH,train,1
200,200,train/AFRICAN FIREFINCH/064.jpg,AFRICAN FIREFINCH,train,1
201,201,train/AFRICAN FIREFINCH/065.jpg,AFRICAN FIREFINCH,train,1
202,202,train/AFRICAN FIREFINCH/066.jpg,AFRICAN FIREFINCH,train,1
203,203,train/AFRICAN FIREFINCH/067.jpg,AFRICAN FIREFINCH,train,1
204,204,train/AFRICAN FIREFINCH/068.jpg,AFRICAN FIREFINCH,train,1
205,205,train/AFRICAN FIREFINCH/069.jpg,AFRICAN FIREFINCH,train,1
206,206,train/AFRICAN FIREFINCH/070.jpg,AFRICAN FIREFINCH,train,1
207,207,train/AFRICAN FIREFINCH/071.jpg,AFRICAN FIREFINCH,train,1
208,208,train/AFRICAN FIREFINCH/072.jpg,AFRICAN FIREFINCH,train,1
209,209,train/AFRICAN FIREFINCH/073.jpg,AFRICAN FIREFINCH,train,1
210,210,train/AFRICAN FIREFINCH/074.jpg,AFRICAN FIREFINCH,train,1
211,211,train/AFRICAN FIREFINCH/075.jpg,AFRICAN FIREFINCH,train,1
212,212,train/AFRICAN FIREFINCH/076.jpg,AFRICAN FIREFINCH,train,1
213,213,train/AFRICAN FIREFINCH/077.jpg,AFRICAN FIREFINCH,train,1
214,214,train/AFRICAN FIREFINCH/078.jpg,AFRICAN FIREFINCH,train,1
215,215,train/AFRICAN FIREFINCH/079.jpg,AFRICAN FIREFINCH,train,1
216,216,train/AFRICAN FIREFINCH/080.jpg,AFRICAN FIREFINCH,train,1
217,217,train/AFRICAN FIREFINCH/081.jpg,AFRICAN FIREFINCH,train,1
218,218,train/AFRICAN FIREFINCH/082.jpg,AFRICAN FIREFINCH,train,1
219,219,train/AFRICAN FIREFINCH/083.jpg,AFRICAN FIREFINCH,train,1
220,220,train/AFRICAN FIREFINCH/084.jpg,AFRICAN FIREFINCH,train,1
221,221,train/AFRICAN FIREFINCH/085.jpg,AFRICAN FIREFINCH,train,1
222,222,train/AFRICAN FIREFINCH/086.jpg,AFRICAN FIREFINCH,train,1
223,223,train/AFRICAN FIREFINCH/087.jpg,AFRICAN FIREFINCH,train,1
224,224,train/AFRICAN FIREFINCH/088.jpg,AFRICAN FIREFINCH,train,1
225,225,train/AFRICAN FIREFINCH/089.jpg,AFRICAN FIREFINCH,train,1
226,226,train/AFRICAN FIREFINCH/090.jpg,AFRICAN FIREFINCH,train,1
227,227,train/AFRICAN FIREFINCH/091.jpg,AFRICAN FIREFINCH,train,1
228,228,train/AFRICAN FIREFINCH/092.jpg,AFRICAN FIREFINCH,train,1
229,229,train/AFRICAN FIREFINCH/093.jpg,AFRICAN FIREFINCH,train,1
230,230,train/AFRICAN FIREFINCH/094.jpg,AFRICAN FIREFINCH,train,1
231,231,train/AFRICAN FIREFINCH/095.jpg,AFRICAN FIREFINCH,train,1
232,232,train/AFRICAN FIREFINCH/096.jpg,AFRICAN FIREFINCH,train,1
233,233,train/AFRICAN FIREFINCH/097.jpg,AFRICAN FIREFINCH,train,1
234,234,train/AFRICAN FIREFINCH/098.jpg,AFRICAN FIREFINCH,train,1
235,235,train/AFRICAN FIREFINCH/099.jpg,AFRICAN FIREFINCH,train,1
236,236,train/AFRICAN FIREFINCH/100.jpg,AFRICAN FIREFINCH,train,1
237,237,train/AFRICAN FIREFINCH/101.jpg,AFRICAN FIREFINCH,train,1
238,238,train/AFRICAN FIREFINCH/102.jpg,AFRICAN FIREFINCH,train,1
239,239,train/AFRICAN FIREFINCH/103.jpg,AFRICAN FIREFINCH,train,1
240,240,train/AFRICAN FIREFINCH/104.jpg,AFRICAN FIREFINCH,train,1
241,241,train/AFRICAN FIREFINCH/105.jpg,AFRICAN FIREFINCH,train,1
242,242,train/AFRICAN FIREFINCH/106.jpg,AFRICAN FIREFINCH,train,1
243,243,train/AFRICAN FIREFINCH/107.jpg,AFRICAN FIREFINCH,train,1
244,244,train/AFRICAN FIREFINCH/108.jpg,AFRICAN FIREFINCH,train,1
245,245,train/AFRICAN FIREFINCH/109.jpg,AFRICAN FIREFINCH,train,1
246,246,train/AFRICAN FIREFINCH/110.jpg,AFRICAN FIREFINCH,train,1
247,247,train/AFRICAN FIREFINCH/111.jpg,AFRICAN FIREFINCH,train,1
248,248,train/AFRICAN FIREFINCH/112.jpg,AFRICAN FIREFINCH,train,1
249,249,train/AFRICAN FIREFINCH/113.jpg,AFRICAN FIREFINCH,train,1
250,250,train/AFRICAN FIREFINCH/114.jpg,AFRICAN FIREFINCH,train,1
251,251,train/AFRICAN FIREFINCH/115.jpg,AFRICAN FIREFINCH,train,1
252,252,train/AFRICAN FIREFINCH/116.jpg,AFRICAN FIREFINCH,train,1
253,253,train/AFRICAN FIREFINCH/117.jpg,AFRICAN FIREFINCH,train,1
254,254,train/AFRICAN FIREFINCH/118.jpg,AFRICAN FIREFINCH,train,1
255,255,train/AFRICAN FIREFINCH/119.jpg,AFRICAN FIREFINCH,train,1
256,256,train/AFRICAN FIREFINCH/120.jpg,AFRICAN FIREFINCH,train,1
257,257,train/AFRICAN FIREFINCH/121.jpg,AFRICAN FIREFINCH,train,1
258,258,train/AFRICAN FIREFINCH/122.jpg,AFRICAN FIREFINCH,train,1
259,259,train/AFRICAN FIREFINCH/123.jpg,AFRICAN FIREFINCH,train,1
260,260,train/AFRICAN FIREFINCH/124.jpg,AFRICAN FIREFINCH,train,1
261,261,train/AFRICAN FIREFINCH/125.jpg,AFRICAN FIREFINCH,train,1
262,262,train/AFRICAN FIREFINCH/126.jpg,AFRICAN FIREFINCH,train,1
263,263,train/AFRICAN FIREFINCH/127.jpg,AFRICAN FIREFINCH,train,1
264,264,train/AFRICAN FIREFINCH/128.jpg,AFRICAN FIREFINCH,train,1
265,265,train/AFRICAN FIREFINCH/129.jpg,AFRICAN FIREFINCH,train,1
266,266,train/AFRICAN FIREFINCH/130.jpg,AFRICAN FIREFINCH,train,1
267,267,train/AFRICAN FIREFINCH/131.jpg,AFRICAN FIREFINCH,train,1
268,268,train/AFRICAN FIREFINCH/132.jpg,AFRICAN FIREFINCH,train,1
269,269,train/AFRICAN FIREFINCH/133.jpg,AFRICAN FIREFINCH,train,1
270,270,train/AFRICAN FIREFINCH/134.jpg,AFRICAN FIREFINCH,train,1
271,271,train/AFRICAN FIREFINCH/135.jpg,AFRICAN FIREFINCH,train,1
272,272,train/AFRICAN FIREFINCH/136.jpg,AFRICAN FIREFINCH,train,1
273,273,train/AFRICAN FIREFINCH/137.jpg,AFRICAN FIREFINCH,train,1
274,274,train/AFRICAN FIREFINCH/138.jpg,AFRICAN FIREFINCH,train,1
275,275,train/AFRICAN FIREFINCH/139.jpg,AFRICAN FIREFINCH,train,1
276,276,train/AFRICAN FIREFINCH/140.jpg,AFRICAN FIREFINCH,train,1
277,277,train/ALBATROSS/001.jpg,ALBATROSS,train,2
278,278,train/ALBATROSS/002.jpg,ALBATROSS,train,2
279,279,train/ALBATROSS/003.jpg,ALBATROSS,train,2
280,280,train/ALBATROSS/004.jpg,ALBATROSS,train,2
281,281,train/ALBATROSS/005.jpg,ALBATROSS,train,2
282,282,train/ALBATROSS/006.jpg,ALBATROSS,train,2
283,283,train/ALBATROSS/007.jpg,ALBATROSS,train,2
284,284,train/ALBATROSS/008.jpg,ALBATROSS,train,2
285,285,train/ALBATROSS/009.jpg,ALBATROSS,train,2
286,286,train/ALBATROSS/010.jpg,ALBATROSS,train,2
287,287,train/ALBATROSS/011.jpg,ALBATROSS,train,2
288,288,train/ALBATROSS/012.jpg,ALBATROSS,train,2
289,289,train/ALBATROSS/013.jpg,ALBATROSS,train,2
290,290,train/ALBATROSS/014.jpg,ALBATROSS,train,2
291,291,train/ALBATROSS/015.jpg,ALBATROSS,train,2
292,292,train/ALBATROSS/016.jpg,ALBATROSS,train,2
293,293,train/ALBATROSS/017.jpg,ALBATROSS,train,2
294,294,train/ALBATROSS/018.jpg,ALBATROSS,train,2
295,295,train/ALBATROSS/019.jpg,ALBATROSS,train,2
296,296,train/ALBATROSS/020.jpg,ALBATROSS,train,2
297,297,train/ALBATROSS/021.jpg,ALBATROSS,train,2
298,298,train/ALBATROSS/022.jpg,ALBATROSS,train,2
299,299,train/ALBATROSS/023.jpg,ALBATROSS,train,2
300,300,train/ALBATROSS/024.jpg,ALBATROSS,train,2
301,301,train/ALBATROSS/025.jpg,ALBATROSS,train,2
302,302,train/ALBATROSS/026.jpg,ALBATROSS,train,2
303,303,train/ALBATROSS/027.jpg,ALBATROSS,train,2
304,304,train/ALBATROSS/028.jpg,ALBATROSS,train,2
305,305,train/ALBATROSS/029.jpg,ALBATROSS,train,2
306,306,train/ALBATROSS/030.jpg,ALBATROSS,train,2
307,307,train/ALBATROSS/031.jpg,ALBATROSS,train,2
308,308,train/ALBATROSS/032.jpg,ALBATROSS,train,2
309,309,train/ALBATROSS/033.jpg,ALBATROSS,train,2
310,310,train/ALBATROSS/034.jpg,ALBATROSS,train,2
311,311,train/ALBATROSS/035.jpg,ALBATROSS,train,2
312,312,train/ALBATROSS/036.jpg,ALBATROSS,train,2
313,313,train/ALBATROSS/037.jpg,ALBATROSS,train,2
314,314,train/ALBATROSS/038.jpg,ALBATROSS,train,2
